origin,system,status,count
Soviet Union,BMP-2K,damaged,1
Soviet Union,BMP-2K,destroyed,2
Soviet Union,BREM-1 armoured recovery vehicle,captured,3
Soviet Union,BREM-1 armoured recovery vehicle,destroyed,1
Soviet Union,BRM-1K,abandoned,4
Soviet Union,BRM-1K,captured,8
Soviet Union,BRM-1K,destroyed,9
Soviet Union,BTR-80,abandoned,1
Soviet Union,BTR-80,captured,5
Soviet Union,BTR-80,damaged,1
Soviet Union,BTR-80,destroyed,1
Soviet Union,BTR-D,abandoned,2
Soviet Union,BTR-D,captured,4
Soviet Union,BTR-D,destroyed,1
Soviet Union,BTR-ZD 'Skrezhet',abandoned,2
Soviet Union,BTR-ZD 'Skrezhet',captured,4
Soviet Union,BTR-ZD 'Skrezhet',destroyed,1
Soviet Union,GAZ-66,captured,1
Soviet Union,GMZ-3 minelayer,captured,3
Soviet Union,GMZ-3 minelayer,destroyed,1
Soviet Union,IMR-2 combat engineering vehicle,captured,2
Soviet Union,IMR-2 combat engineering vehicle,destroyed,1
Soviet Union,Mi-24V/P attack helicopter,captured,1
Soviet Union,MT-LB,abandoned,4
Soviet Union,MT-LB,captured,5
Soviet Union,MT-LB,damaged,3
Soviet Union,MT-LB,destroyed,6
Soviet Union,MT-LB Ambulance,abandoned,2
Soviet Union,MT-LB Ambulance,captured,8
Soviet Union,MT-LB Ambulance,damaged,2
Soviet Union,MT-LB Ambulance,destroyed,4
Soviet Union,MT-LB with ZU-23 AA gun,abandoned,5
Soviet Union,MT-LB with ZU-23 AA gun,captured,5
Soviet Union,MT-LB with ZU-23 AA gun,damaged,3
Soviet Union,MT-LB with ZU-23 AA gun,destroyed,5
Soviet Union,MT-LBM 6MB,abandoned,3
Soviet Union,MT-LBM 6MB,captured,7
Soviet Union,MT-LBM 6MB,damaged,2
Soviet Union,MT-LBM 6MB,destroyed,5
Soviet Union,MT-LBu,abandoned,5
Soviet Union,MT-LBu,captured,6
Soviet Union,MT-LBu,destroyed,4
Soviet Union,PMP floating bridge,captured,1
Soviet Union,PMP floating bridge,destroyed,1
Soviet Union,PTS-3 tracked amphibious transport,captured,1
Soviet Union,PTS-3 tracked amphibious transport,damaged,1
Soviet Union,Su-25 close air support aircraft,captured,1
Soviet Union,T-64BV,abandoned,25
Soviet Union,T-64BV,captured,49
Soviet Union,T-64BV,damaged,8
Soviet Union,T-64BV,destroyed,128
Soviet Union,T-64BV,NA,2
Soviet Union,T-72A,abandoned,21
Soviet Union,T-72A,captured,42
Soviet Union,T-72A,damaged,5
Soviet Union,T-72A,destroyed,67
Soviet Union,T-72AV,abandoned,11
Soviet Union,T-72AV,captured,28
Soviet Union,T-72AV,damaged,6
Soviet Union,T-72AV,destroyed,47
Soviet Union,T-72B,abandoned,11
Soviet Union,T-72B,captured,23
Soviet Union,T-72B,damaged,5
Soviet Union,T-72B,destroyed,34
Soviet Union,T-80BV,abandoned,9
Soviet Union,T-80BV,captured,12
Soviet Union,T-80BV,damaged,2
Soviet Union,T-80BV,destroyed,15
Soviet Union,TMM-3 bridge layer,captured,1
Soviet Union,TMM-3 bridge layer,destroyed,1
Soviet Union,Unknown BTR-D/BMD-2,captured,8
Soviet Union,Unknown BTR-D/BMD-2,destroyed,3
Soviet Union,UR-77 'Meterorit' mine clearing vehicle,captured,3
Soviet Union,UR-77 'Meterorit' mine clearing vehicle,destroyed,1
Soviet Union,ZiL-131,captured,1
