country,origin,system,status,url
NA,Russia,BTR-82A,captured,https://i.postimg.cc/QxbX7PSj/bo.jpg
NA,Soviet Union,BTR-80,captured,https://i.postimg.cc/VsK9XjfC/d332.png
NA,Soviet Union,BTR-D,captured,https://i.postimg.cc/MG8fCYbX/3d3.png
NA,Soviet Union,BTR-ZD 'Skrezhet',captured,https://i.postimg.cc/DwB9FktZ/479p.png
NA,Russia,BTR-MDM 'Rakushka',captured,https://i.postimg.cc/3wPF3jtz/331.png
NA,Russia,KamAZ-63968 'Typhoon',captured,https://i.postimg.cc/WpJWQz1d/ta1.png
NA,Russia,K-4386 Typhoon-VDV,captured,https://i.postimg.cc/RFS7hm3f/d15.png
NA,Russia,K-53949 Typhoon-K,captured,https://i.postimg.cc/rpYCXVgJ/4436.png
NA,Russia,K-53949 'Linza',captured,https://i.postimg.cc/43hnyXsw/d138.png
NA,Russia,GAZ Tigr-M,captured,https://i.postimg.cc/4dfJWDSG/hh3.png
NA,Italy,Iveco LMV 'Rys',captured,https://i.postimg.cc/fLGLK0K6/466.png
NA,Russia,MP-2IM signals vehicle,captured,https://i.postimg.cc/Hxvw9rwC/559.jpg
NA,Russia,Barnaul-T 9С932-1 automated system for air defence units,captured,https://i.postimg.cc/prpmytmf/f433.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/fRTVS0Tt/7u5.png
NA,Soviet Union,T-72A,abandoned,https://i.postimg.cc/fbx3fPBg/665f.jpg
NA,Soviet Union,T-72AV,abandoned,https://i.postimg.cc/X7GD7K2Y/h66.jpg
NA,Soviet Union,T-72B,captured,https://i.postimg.cc/63bVWQwX/470.png
NA,Russia,T-72B Obr. 1989,captured,https://i.postimg.cc/1zNj1Pjv/44355.png
NA,Russia,T-72B3,captured,https://i.postimg.cc/4yWGbC6D/578.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/NM9ys7Kt/c8.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/tJP6fPZC/n77.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/F1tnjNHH/f431.png
